Codigo,Descripcion,Categoria,StockPrincipal,StockProduccion,StockTransformacion,CantidadPorCaja,NumeroCajas,Ubicacion,FechaExpedicion,DiasParaExpirar,FechaExpiracion,Proveedor,UltimaOrden,Detalles,Id,StockMinimo,StockMaximo,VidaUtilMeses,Notas,LotesJson
18-VCMC-832-12-XX,"VIS CMC NATUREL 8-32 X 1/2""",CHANTIER,15800.0,0,0,0,0,,,,,,,,45,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-BETON/MARBLE10,"WEDGE BOLTS 3/8"" X3 3/4",CHANTIER,353.0,0,0,0,0,,,,,,,,46,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL). Código repetido: prevalece esta fila (la última en el archivo).",[]
LGOIR-TOOL324,EXACTEAU,FINITION,1.0,0,0,0,0,,,,,,,,47,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-LIQUID PM819,Peinture light bronze,FINITION,11.0,0,0,0,0,,,,,,,,48,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-RB5473,RUBAN POUR MARCHES,FINITION,1.0,0,0,0,0,,,,,,,,49,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-LIQUID ANOSPEC546,Peinture medium bronze,FINITION,20.0,0,0,0,0,,,,,,,,50,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-LIQUID10,Peinture Or Metalique,FINITION,3.0,0,0,0,0,,,,,,,,51,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-LITTLE12413,"HEX DRIVE JOINT CONNECTOR CAP NUT 1/4""-20 UNC X 669""LONG STEEL PLATED",FINITION,63.0,0,0,0,0,,,,,,,,52,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-SHIM316,SHIM JAUNE 3/16,CHANTIER,1200.0,0,0,0,0,,,,,,,,53,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PLASTIC2,BIG BROWN PLASTIC PLUGS,CHANTIER,1356.0,0,0,0,0,,,,,,,,54,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-LIQUID13,Polythinner,ASSEMBLAGE/ EXTRUSION/USINE,7.0,0,0,0,0,,,,,,,,55,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-GAS1,PROPANE FOR FORKLIFT,USINE,4.0,0,0,0,0,,,,,,,,56,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-RUBBER1,Rouleaux de gaskets,ASSEMBLAGE,3.0,0,0,0,0,,,,,,,,57,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-TOOL2,TOURNEVIS/SCREWDRIVER TX-15,CHANTIER,145.0,0,0,0,0,,,,,,,,58,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-TOOL3,TOURNEVIS/SCREWDRIVER CMC,CHANTIER,150.0,0,0,0,0,,,,,,,,59,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-TOOL4,TOURNEVIS/SCREWDRIVER TX-25,CHANTIER,29.0,0,0,0,0,,,,,,,,60,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-LITTLE PIECE5,SEE THROUGH PIN,CHANTIER/FINITION,585.0,0,0,0,0,,,,,,,,61,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-SHIM08,"SHIMS 1/8""",CHANTIER/USINE,10728.0,0,0,0,0,,,,,,,,62,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-SHIM04,"SHIMS 1/4""",CHANTIER/USINE,6400.0,0,0,0,0,,,,,,,,63,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-SHIM16,"SHIMS 1/16""",CHANTIER/USINE,8337.0,0,0,0,0,,,,,,,,64,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PASTE13,SIKAFLEX 1A,CHANTIER/USINE,438.0,0,0,0,0,,,,,,,,65,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PASTE14,SILICONE TRANSLUCENT WHITE   DOWSIL,CHANTIER/FINITION,46.0,0,0,0,0,,,,,,,,66,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PASTE15,SILICONE CLEAR DOWSIL,CHANTIER/FINITION,52.0,0,0,0,0,,,,,,,,67,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PASTE16,Silicone Rustic Brick,CHANTIER,20.0,0,0,0,0,,,,,,,,68,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-METAL1,STEEL PLATE FOR CORNER NICHES,CHANTIER,288.0,0,0,0,0,,,,,,,,69,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-TIM123,"TIMBERTITE SCREW WOOD FASTENER(TAPCON) 1/4 X 8""  USE 5/16 HEX DRIVER REMOVAVLE  & REUSABLE CERAMIC COATED",CHANTIER,50.0,0,0,0,0,,,,,,,,70,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-SQ45131,"IRWIN  METAL COMBINATION SQUARE 16"" 40CM",CHANTIER,2.0,0,0,0,0,,,,,,,,71,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-BETON1,"TAPCON 1/4"" X 3-1/4",CHANTIER,225.0,0,0,0,0,,,,,,,,72,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-BETON2,"TAPCON 1/4"" X 2-3/4""",CHANTIER,6293.0,0,0,0,0,,,,,,,,73,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-BETON3,TAPCON  1/2 x 5,CHANTIER,85.0,0,0,0,0,,,,,,,,74,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PASTE17,TENAX,CHANTIER,48.0,0,0,0,0,,,,,,,,75,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-METAL2,TENSION TIES,CHANTIER,53.0,0,0,0,0,,,,,,,,76,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-CARPEINTEER1,VIS A BOIS 8 x 2 1/2,CHANTIER/CRETAGE,5000.0,0,0,0,0,,,,,,,,77,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-CARPEINTEER2,VIS A BOIS 8 X 1 1/4'',CHANTIER/CRETAGE,5820.0,0,0,0,0,,,,,,,,78,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-CARPEINTEER3,"VIS A BOIS 8x 1 3/4""",CHANTIER/CRETAGE,60000.0,0,0,0,0,,,,,,,,79,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
18-VDOS-058-15-ZC,"VIS DE DOS AUTOPERCEUSE #8 X 5/8"" T. HEX RONDELLE ZINC",ASSEMBLAGE,2239.0,0,0,0,0,,,,,,,,80,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-FIX1 Desormeau tekgc120200,VIS AUTOPERCEUSE T.GAUFREE CARREE ZINC 12-24 UNC X 2 (SEE THROUGH),FINITINON/ASSEMBLAGE,8666.0,0,0,0,0,,,,,,,,81,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
18-VDOS-112-15-ZC / Desormeau TEKHR120150,"VIS DE DOS AUTOPERCEUSES T. HEX, ZINC 12-14X1 1/2",ASSEMBLAGE,2512.0,0,0,0,0,,,,,,,,82,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
18-VCMC-124-15-XX,"VIS CMC NATUREL 10-24 X 1  1/2""",CHANTIER,2638.0,0,0,0,0,,,,,,,,83,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
18-VCMC-124-15-02,"VIS CMC BRONZE 10-24 X 1 1/2""",CHANTIER,4705.0,0,0,0,0,,,,,,,,84,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
18-VRTC-5558-832-XX,"VIS PAN COURT TEMPORAIRE POUR ROSETTES 8-32X5/8"" STAINLESS STEEL BQC4555",EXTRUSION,24000.0,0,0,0,0,,,,,,,,85,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
18-VRTL-6034-832-XX,"VIS PAN LONG TEMPORAIRE POUR ROSETTES 8-32X3/4"" STAINLESS STEEL BQC4560",EXTRUSION,44000.0,0,0,0,0,,,,,,,,86,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
18-VTRX-832-12-XX,"VIS TORX NATUREL 8-32 X 1/2""",CHANTIER,2729.0,0,0,0,0,,,,,,,,87,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
18-VTRX-124-15-XX,"VIS TORX NATUREL 10-24 X 1 1/2""",CHANTIER,0.0,0,0,0,0,,,,,,,,88,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
18-VTRX-124-15-NO,"VIS TORX NOIR 10-24 X 1 1/2""",CHANTIER,82606.0,0,0,0,0,,,,,,,,89,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
18-VTRX-124-78-NO,"VIS TORX NOIR 10-24 X 7/8""",CHANTIER,99192.0,0,0,0,0,,,,,,,,90,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
18-VTRX-832-12-NO,"VIS TORX NOIR 8-32 X 1/2""",CHANTIER,128916.0,0,0,0,0,,,,,,,,91,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-BETON/MARBLE4,"WEDGE BOLTS 1/2X7""",CHANTIER,6.0,0,0,0,0,,,,,,,,92,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-BETON/MARBLE5,"WEDGE BOLTS 1/2X6""",CHANTIER,8.0,0,0,0,0,,,,,,,,93,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-BETON/MARBLE6,"WEDGE BOLTS 1/2X4""",CHANTIER,8.0,0,0,0,0,,,,,,,,94,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-BETON/MARBLE7,"WEDGE BOLTS 5/8""X6""",CHANTIER,12.0,0,0,0,0,,,,,,,,95,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-BETON/MARBLE8,"WEDGE BOLTS 10XKB3/4""X4 3/4""",CHANTIER,42.0,0,0,0,0,,,,,,,,96,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-BETON/MARBLE9,"WEDGE BOLTS 1/2""X4 1/2""",CHANTIER,100.0,0,0,0,0,,,,,,,,97,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-SECURITY1,KEYS # 088/CLE # 088,CHANTIER/USINE,11873.0,0,0,0,0,,,,,,,,98,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
