LGOIR-DRILL1,"DRILL AND COUNTER SINK  7/64""/MECHE AVEC FRAISE",USINE,5,0,0,1,5,E6L,XX,0,,N/A,,,mnt08vv3osmfii,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-METAL4,"ROD S/S 1/2 x 15""",CHANTIER,1,0,0,1,1,E3C,XX,0,,N/A,,,mnt08vw7kl7z52,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-SCIE/SPARE6,"FINE FINISH BLADE/LAME DE FINITION FINE 10""",USINE,1,0,0,1,1,X,XX,0,,N/A,,,mnt08vx3rql440,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TAPE88101,ROULEAU DE TAPE BLEU DE LEDS,ELECTRIQUE,1,0,0,1,1,ARMOIRE AVEC CLE,XX,0,,N/A,,,mnt08w0648j6ix,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-SAFETY / TOOL16,KNEELING MAT,USINE,5,0,0,1,5,X,XX,0,,N/A,,,mnt08w16q7jj2b,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
18-FDMD-008-20-SE /FD-8-20-B-MM,"BULLET CONNECTOR MOLEX COURT -8""",EXTRUSION/ELECTRIQUE,3,0,0,50,1.04,ARMOIRE DU M. ELECTRIQUE,XX,0,,N/A,,,mnt08w21ul44mf,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
18-FDFF-112-18-SE14,"CONNECTEUR VERTICAL MOLEX 14 SORTIES @12""",CHANTIER/ELECTRIQUE,1,0,0,1,1,ARMOIRE DU M. ELECTRIQUE,XX,0,,N/A,,,mnt08w3f4e4ars,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-WIRE2,CLASS 2 TRANSFORMER(PETITES BOITES BLANCHES),CHANTIER/ELECTRIQUE,1,0,0,1,1,ARMOIRE DU M. ELECTRIQUE,XX,0,,N/A,,,mnt08w3jcsisbc,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-METAL15,"ROD S/S 1/2"" X 11""",CHANTIER,3,0,0,1,3,E2C,XX,0,,N/A,,,mnt08w3qfpuiyi,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-PINCE1,QUICK ADJUST WIRE STRIPPER,USINE,4,0,0,1,4,ARMOIRE AVEC CLE,XX,0,,N/A,,,mnt08w42j4idoh,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TAPE9,TAPE  DE ETIQUETE FRAGILE,USINE,1,0,0,1,1,ARMOIRE AVEC CLE,XX,0,,N/A,,,mnt08w46qqzi10,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-PINCE2,PINCE A COUPER DES FILS/WIRE CUTTERS,USINE/ELECTRIQUE,4,0,0,1,4,ARMOIRE AVEC CLE,XX,0,,N/A,,,mnt08w4hwqegjs,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-PINCE3,"4-1/2"" LONG NOSE PLIER",USINE,1,0,0,1,1,ARMOIRE AVEC CLE T3,XX,0,,N/A,,,mnt08w4l2gcwx4,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-WIRE3,ANCIEN TRANSFO MARCUS MC150B 150VA 60Hz,ELECTRIQUE,3,0,0,1,3,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08w51d9wkbi,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TOOL18,GUN A SILICONE,USINE,2,0,0,1,2,ARMOIRE AVEC CLE,XX,0,,N/A,,,mnt08w55mjs5iw,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-WIRE5,"CONNECTEUR VERTICAL MOLEX  22 SORTIES @12""(HARNESS)",CHANTIER/ELECTRIQUE,1,0,0,1,1,ARMOIRE DU M. ELECTRIQUE,XX,0,,N/A,,,mnt08w5sn1uthg,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TOOL19,SILVER BLACK CENTER PUNCHWITH TIPS,USINE,3,0,0,1,3,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08w6iybtio8,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-GLUE1,WOOD GLUE- COLLE A BOIS 150 ML,USINE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08w6o4ovtgi,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-GLUE2,SUPER GLUE - SUPER COLLE 20 ML,USINE,4,0,0,1,4,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08w6uqv9bt2,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-DRILL/SPARE8,MECHE LONG 1/4,USINE,3,0,0,1,3,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08w7dotwbdp,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-DRILL/SPARE10,MECHE BLUE WIZARD 10-24,USINE,5,0,0,1,5,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08w7lzshdqw,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-DRILL/SPARE17,TAP MECHE BLUE MERLIN 1/4-20,USINE,4,0,0,1,4,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08w8ihwwjl6,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-SCIE/SPARE7,BI-METAL JIGSAW BLADES/LAMES DE SCIE SAUTEOUSE BIMETALLIQUES,USINE,3,0,0,1,3,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08w8pxuyh56,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-DRILL/SPARE18,# 29 HSS JOBBER DRILL(PLUS LONG),USINE,2,0,0,1,2,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08w8wqx4bju,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-DRILL/SPARE21,HSS DRILL FORET 7/32,USINE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08w9d3bybcx,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-DRILL/SPARE22,"MECHE BOSCH 1/8"" GOLD",USINE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08w9h6xglcf,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-DRILL/SPARE23,"MECHE BOSCH 5/64""",USINE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08w9mt57edz,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TOOL21,TAPE MESURE & SPEED TAPE,USINE,4,0,0,1,4,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08wa4eb6ue3,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TOOL23,WIRE STRIPPING TOOL,USINE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08wad9x9fz9,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TOOL24,SNAP RING PLIERS SET/JEU DE PINCES POUR ANNEAUX DE RETENU,USINE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08wakpw7hfw,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TOOL25,SPEED ROLLER,USINE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08war7h85w9,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-DRILL/SPARE25,"ROUTER BIT/MECHE DE TOUPIE 3/8""",USINE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08wb0f9aw9i,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-DRILL/SPARE27,MECHE # 28,USINE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08wb8tp3lf2,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-LUBRICANT 3,LUBRICANT/PENETRANT WD-40,USINE,1,0,0,1,2,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08wbcb5sc6f,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-WIRE7,ANCIEN TRANSFO WA-110 10 AMP 4 TWIN PLUG 110/24,ELECTRIQUE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08wbh1s6af3,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-WIRE8,ANCIEN TRANSFO WA-110 10AMP 120/24,ELECTRIQUE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08wblxj8a2w,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TOOL26,MINI BOLT CUTTER/MINI COUPE-BOULON,USINE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08we5s22he9,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-WIRE9,YELLOW JACKET EXTENSION DE COURANT DE 6 PRISES,ELECTRIQUE,1,0,0,1,1,ARMOIRE DU M. ELECTRIQUE,XX,0,,N/A,,,mnt08weawhi3iu,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-PACKING4,ROULEAUX DE CARTON ONDULE/CORRUGATED CARDBOARD ROLL,USINE,2,0,0,1,2,"CONTAINER DU FOND, CRATAGE",XX,0,,ULINE,46086,,mnt08wen4eb327,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
FD-12S-18-MF-05/ 18-FDFF-112-18-SE,"CONNECTEUR VERTICAL MOLEX 5 SORTIES @ 12""",ELECTRIQUE,2,0,0,1,2,ARMOIRE DU M. ELECTRIQUE,XX,0,,N/A,,,mnt08wew6r83lx,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-PASTE20,KWIK SEAL ADHESIVE CAULK/CALFEURANT ADHESIF WHITE/BLANC,USINE,2,0,0,1,2,ARMOIRE SANS CLE,XX,0,,N/A,,,mnt08wf710opea,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-BETON/MARBLE13,"MANCHON ANCRAGE 1/2-13X2""",CHANTIER,3,0,0,1,3,CONTAINER CHANTIER,XX,0,,N/A,,,mnt08wfmtz7qbu,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-BETON/MARBLE14,"OUTIL INSTAL ANCRAGES PROFONDS 1/2""",CHANTIER,1,0,0,1,1,CONTAINER CHANTIER,XX,0,,N/A,,,mnt08wfsodsf2x,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
